lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
N/A,$0.05,time-not-supplied,PVL,Permianville Royalty Trust,"$60,060,000",Sep/2025,,1,,0.05,1.0,2025-11-13
11/14/2024,($0.17),time-not-supplied,GANX,"Gain Therapeutics, Inc.","$59,674,686",Sep/2025,($0.15),3,,,3.0,2025-11-13
N/A,$0.04,time-not-supplied,FKWL,Franklin Wireless Corp.,"$59,628,457",Sep/2025,,1,,0.04,1.0,2025-11-13
11/14/2024,$0.01,time-not-supplied,SUUN,PowerBank Corporation,"$58,546,914",Sep/2025,($0.05),2,,0.01,2.0,2025-11-13
11/14/2024,($0.50),time-not-supplied,INKT,"MiNK Therapeutics, Inc.","$57,938,695",Sep/2025,($0.86),2,,,2.0,2025-11-13
11/07/2024,($0.19),time-after-hours,BEAT,"Heartbeam, Inc.","$56,614,122",Sep/2025,($0.16),1,,,1.0,2025-11-13
11/14/2024,($4.01),time-not-supplied,LOCL,Local Bounti Corporation,"$55,749,985",Sep/2025,,N/A,,,,2025-11-13
11/14/2024,($0.14),time-not-supplied,GAME,"GameSquare Holdings, Inc.","$55,587,712",Sep/2025,($0.03),1,,,1.0,2025-11-13
11/14/2024,($0.17),time-not-supplied,CUE,"Cue Biopharma, Inc.","$55,421,266",Sep/2025,($0.10),1,,,1.0,2025-11-13
11/14/2024,($0.01),time-pre-market,BRAG,Bragg Gaming Group Inc.,"$55,406,239",Sep/2025,,N/A,,,,2025-11-13
11/14/2024,($0.15),time-not-supplied,NRXP,"NRX Pharmaceuticals, Inc.","$53,991,911",Sep/2025,($0.08),1,,,1.0,2025-11-13
N/A,($0.09),time-not-supplied,CNVS,Cineverse Corp.,"$53,792,244",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,$0.02,time-not-supplied,PED,Pedevco Corp.,"$53,541,181",Sep/2025,,N/A,,0.02,,2025-11-13
N/A,$0.66,time-not-supplied,MDIA,Mediaco Holding Inc.,"$52,351,672",Sep/2025,,1,,0.66,1.0,2025-11-13
